movieID,Title,Runtime,Director,Writer,Actors,Release Date,Netflix Release Date,Production House
32,Life and Nothing But,> 2 hrs,Bertrand Tavernier,"Bertrand Tavernier, Jean Cosmos","Maurice Barrier, Sabine Azéma, Philippe Noiret, Pascale Vignal",06-09-1989,01-03-2021,"Little Bear [fr], Films A2, Hachette Première"
33,Let Joy Reign Supreme,1-2 hour,Bertrand Tavernier,"Bertrand Tavernier, Jean Aurenche","Christine Pascal, Philippe Noiret, Jean-Pierre Marielle, Jean Rochefort",26-03-1975,01-03-2021,
34,Coup de Torchon,> 2 hrs,Bertrand Tavernier,"Bertrand Tavernier, Jim Thompson, Jean Aurenche","Stéphane Audran, Philippe Noiret, Jean-Pierre Marielle, Isabelle Huppert",04-11-1981,01-03-2021,
35,Framing John DeLorean,1-2 hour,"Sheena M. Joyce, Don Argott","Alexandra Orton, Dan Greeney","Dean Winters, Josh Charles, Alec Baldwin, Morena Baccarin",07-06-2019,01-03-2021,"9.14 Pictures, XYZ Films"
36,The Bold Type,< 30 minutes,,Sarah Watson,"Aisha Dee, Meghann Fahy, Melora Hardin, Katie Stevens",20-06-2017,01-03-2021,
37,Alice,< 30 minutes,Woody Allen,Woody Allen,"William Hurt, June Squibb, Joe Mantegna, Mia Farrow",10-01-1991,01-03-2021,Orion Pictures
38,Miss Baek,1-2 hour,Ji-won Lee,Ji-won Lee,"Hee-joon Lee, Si-ah Kim, Jun Suk-ho, Han Ji-min",11-10-2018,28-02-2021,
39,Old Marine Boy,1-2 hour,Mo-young Jin,,"Cheolhoon Park, Soonhee Kim, Myoungho Park, Cheoljoon Park",,28-02-2021,
40,Ordinary People,1-2 hour,Robert Redford,"Alvin Sargent, Judith Guest","Donald Sutherland, Mary Tyler Moore, Judd Hirsch, Timothy Hutton",19-09-1980,28-02-2021,"Paramount Pictures, Wildwood Enterprises"
41,Paths of the Soul,1-2 hour,Yang Zhang,Yang Zhang,"Pei Yang, Tsring Chodron, Tsewang Dolkar, Jiangcuo Seba",20-06-2017,28-02-2021,
42,Promise at Dawn,> 2 hrs,Eric Barbier,"Marie Eynard, Romain Gary, Eric Barbier","Charlotte Gainsbourg, Pierre Niney, Didier Bourdon, Jean-Pierre Darroussin",06-09-2019,28-02-2021,
43,Rebel in the Rye,1-2 hour,Danny Strong,"Danny Strong, Kenneth Slawenski","Victor Garber, Hope Davis, Kevin Spacey, Nicholas Hoult",15-09-2017,28-02-2021,Black Label Media
44,The Return,1-2 hour,Andrey Zvyagintsev,"Aleksandr Novototskiy-Vlasov, Vladimir Moiseenko","Nataliya Vdovina, Vladimir Garin, Konstantin Lavronenko, Ivan Dobronravov",25-06-2003,28-02-2021,Octagon Films
45,The Rookies,1-2 hour,,"Rita Lakin, William Blinn","Sam Melville, Gerald S. O'Loughlin, Kate Jackson, Georg Stanford Brown",07-03-1972,28-02-2021,
46,Stray,1-2 hour,Joe Sill,"J.D. Dillard, Joe Sill, Alex Theurer","Christine Woods, Ross Partridge, Karen Fukuhara, Miyavi",01-04-2019,28-02-2021,Diablo Entertainment
47,Stand by Me,1-2 hour,Rob Reiner,"Bruce A. Evans, Raynold Gideon, Stephen King","Wil Wheaton, River Phoenix, Jerry O'Connell, Corey Feldman",22-08-1986,28-02-2021,Columbia Pictures Corporation
48,Wonderstruck,1-2 hour,Todd Haynes,Brian Selznick,"Millicent Simmonds, Cory Michael Smith, James Urbaniak, Julianne Moore",20-10-2017,28-02-2021,"Picrow, Amazon Studios, Cinetic Media, FilmNation Entertainment"
49,Keys To The Heart,> 2 hrs,Sung-Hyun Choi,Sung-Hyun Choi,"Sung-ryung Kim, Jung-min Park, Lee Byung-Hun, Han Ji-min",26-01-2018,28-02-2021,
50,Intimate Strangers,1-2 hour,Patrice Leconte,"Patrice Leconte, Jérôme Tonnerre","Fabrice Luchini, Anne Brochet, Sandrine Bonnaire, Michel Duchaussoy",03-09-2004,28-02-2021,"Les Films Alain Sarde, France 2 Cinema"
51,Homme Fatale,1-2 hour,Da-Jung Nam,Da-Jung Nam,"Jisu Choi, Gwi-hwa Choi, Jung So-Min, Jun-Ho Lee",10-07-2019,28-02-2021,
52,Happy Bus Day,1-2 hour,Seung-Won Lee,,Ju-won Lee,21-04-2017,28-02-2021,
53,Gonjiam: Haunted Asylum,1-2 hour,Beom-sik Jeong,"Beom-sik Jeong, Sang-min Park","Ye-Won Mun, Yoo Je-Yoon, Seung-Wook Lee, Wi Ha-Joon",28-03-2018,28-02-2021,
54,Golden Slumber,1-2 hour,Yoshihiro Nakamura,Kôtarô Isaka,"Shihori Kanjiya, Yûko Takeuchi, Nao Ohmori, Teruyuki Kagawa",30-01-2010,28-02-2021,Amuse
55,Extreme Job,1-2 hour,Byeong-heon Lee,Se-yeong Bae,"Shin Ha-kyun, Lee Hanee, Myoung Gong, Joon-seok Heo",21-06-2019,28-02-2021,CJ Entertainment
